description_short,n_high_opportunities,total_partner_import_v,avg_market_penetration
"Bituminous mixtures based on natural asphalt, on natural bit",53,1725405.513,0.0
"Dog or cat food: (not put up for retail sale), used in anima",53,15357471.82,0.0
Fire extinguishers: whether or not charged,53,1575531.528,0.0
"Fibres: artificial staple fibres, of viscose, not carded, co",53,2420464.693,0.0
Brushes: toothbrushes,53,2623685.838,0.0
"Glassware: drinking glasses (not stemware), other than of le",53,1854500.13,0.0
"Plastics: tubes, pipes and hoses thereof, rigid, of plastics",53,2121249.088,0.0
"Semiconductor media: other than smart cards, whether or not ",53,1492892.383,0.0
"Kraft paper and paperboard: uncoated, bleached, weight 150g/",53,1726241.297,0.0
"Dairy produce: buttermilk, curdled milk or cream, kephir, fe",53,2090392.067,0.0
"Lamps: portable, electric, designed to function by their own",53,2695880.144,0.0
Wood: coniferous (including unassembled strips and friezes f,53,2546554.4220000003,0.0
"Mechanical shovels, excavators and shovel loaders: with a 36",53,33440430.026,0.0
"Loudspeakers: single, mounted in their enclosures",53,4236680.769,0.0
"Vegetable preparations: tomatoes, (other than whole or in pi",52,4200493.8100000005,0.0
"Medium density fibreboard (MDF), of a thickness exceeding 9 ",52,4465593.155,0.0
"Mountings, fittings and similar articles: suitable for furni",52,7506704.178,0.0
"Marble, travertine and alabaster: articles thereof, (other t",52,2611219.722,0.0
Odoriferous substances and mixtures: used as raw materials i,52,7073972.029,0.0
"Swine: live, other than pure-bred breeding animals, weighing",52,4810010.706,0.0
"Meat: of swine, n.e.c. in item no. 0203.2, frozen",52,14286146.854,0.0
"Alcohols: acyclic, diols: propylene glycol (propane-1, 2-dio",52,1477211.175,0.0
Paints and varnishes: (based on polymers other than acrylic ,52,2737903.764,0.0
"Fibreboard (other than MDF) of a density exceeding 0.8g/cm3,",52,2184708.812,0.0
"Tanks, casks, drums, boxes and similar containers for any ma",52,2153817.0439999998,0.0
"Machines: parts, of those for assembling electric or electro",52,2627935.692,0.0
"Vitamins: n.e.c. in item no. 2936.2, and their derivatives, ",52,1596304.815,0.0
Lubricating preparations: (other than for the treatment of t,52,4101357.937,0.0
Electrical insulators: other than of glass and ceramics,52,1445884.433,0.0
"Machinery and mechanical appliances: for public works, build",52,2903175.867,0.0
"Vehicles: specially designed for travelling on snow, golf ca",52,3147641.7970000003,0.0
"Iron or non-alloy steel: flat-rolled, width 600mm or more, (",52,23686589.317,0.0
"Birds' eggs, in shell: fresh, fertilised eggs for incubation",52,1992713.512,0.0
"Electrical apparatus: n.e.c. in heading no. 8535, for switch",52,3702508.613,0.0
Iron or steel: threaded self-tapping screws,52,3617816.921,0.0
"Briefs and panties: women's or girls', of cotton, knitted or",52,2625264.949,0.0
Poly(ethylene terephthalate): in primary forms,52,11321504.303000001,0.0
"Wood: n.e.c. in heading no. 4408, sheets for veneer or plywo",52,2887861.874,0.0
"Vessels: other, including lifeboats other than rowing boats,",52,4866269.996,0.0
"Dairy produce: natural milk constituents (excluding whey), w",52,1706976.7349999999,0.0
Liqueurs and cordials,52,3954765.355,0.0
Carbon: activated,52,2286941.209,0.0
"Machine-tools: sawing machines, for working wood, cork, bone",52,2004734.633,0.0
"Natural calcium phosphates, natural aluminium calcium phosph",52,1838731.807,0.0
"Machinery: parts of machinery for making up paper pulp, pape",52,1963248.909,0.0
Machinery: for making paper or paperboard,52,1477727.743,0.0
"Glass fibres: (including glass wool), rovings",52,1560961.362,0.0
"Plaster, or plaster compositions: boards, sheets, panels, ti",52,1460458.619,0.0
Turbines: parts of steam and other vapour turbines,51,2276273.745,0.0
"Medicaments: containing antibiotics (other than penicillins,",51,13120843.287,0.0
"Centrifuges: n.e.c. in heading no. 8421, including centrifug",51,2117086.213,0.0
Brassieres: whether or not knitted or crocheted,51,8277781.564,0.0
"Footwear: parts, uppers and parts thereof, other than stiffe",51,3583576.127,0.0
"Tools, hand: pliers (including cutting pliers), pincers, twe",51,1739314.954,0.0
"Iron or steel: sanitary ware and parts thereof, excluding si",51,1551047.027,0.0
"Meat preparations: of swine, meat or meat offal (including m",51,2613693.38,0.0
"Vegetable oils: palm oil and its fractions, other than crude",51,32003491.847,0.0
"Beverages, fermented: (e.g. cider, perry, mead)",51,1669218.6469999999,0.0
Machinery: parts of those machines used in the industrial pr,51,3752961.517,0.0
"Meters: parts and accessories of gas, liquid, electricity su",51,3062875.923,0.0
"Vacuum cleaners, with self-contained electric motor, of a po",51,13840997.168,0.0
"Vegetable oils: soya-bean oil and its fractions, other than ",51,2781334.976,0.0
"Floor, wall or ceiling coverings: of plastics (excluding pol",51,1332591.434,0.0
"Waxes: artificial and prepared, other than of polyethylene g",51,2915321.976,0.0
"Coke and semi-coke: of coal, lignite or peat, whether or not",51,11601748.374,0.0
"Fruit, edible: apples, fresh",51,6199052.934,0.0
"Glues or adhesives: prepared, products suitable for use as g",51,3144391.884,0.0
Helicopters: of an unladen weight not exceeding 2000kg,51,1924075.49,0.0
"Medical, surgical instruments and appliances: ultrasonic sca",51,5295167.482,0.0
Artificial parts of the body: excluding artificial joints,51,13764991.89,0.0
"Kraft paper and paperboard: kraftliner, uncoated, unbleached",51,4619685.012,0.0
Mechano-therapy appliances: massage apparatus and psychologi,51,6696042.824999999,0.0
"Kraft paper and paperboard: sack kraft paper, uncoated, unbl",51,2229793.764,0.0
"Tools, hand: hand-operated spanners and wrenches (including ",51,1545264.829,0.0
Harvesting machinery: n.e.c. in heading no. 8433,51,2633453.085,0.0
"Locks: (other than those for motor vehicles or furniture), (",51,4273773.07,0.0
Wheat or meslin flour,51,5564294.603,0.0
"Machinery, plant and laboratory equipment: parts of equipmen",51,7613948.98,0.0
"Loudspeakers: multiple, mounted in the same enclosure",51,8028037.321,0.0
"Tanks, casks, drums, cans, boxes and similar containers, for",51,1685027.841,0.0
"Machines: for making cartons, boxes, cases, tubes, drums or ",51,1805284.878,0.0
"Electric accumulators: lithium-ion, including separators, wh",51,124284814.025,0.0
"Surveying equipment: articles n.e.c. in heading no. 9015, in",51,4834363.914,0.0
"Electrical apparatus: parts (e.g. boards, panels, consoles, ",51,4073542.119,0.0
"Seats: with metal frames, not upholstered, (excluding medica",51,6020945.025,0.0
Starch: maize (corn) starch,51,1293246.681,0.0
Pens: felt tipped and other porous-tipped pens and markers,51,1890902.076,0.0
"Ovens, cookers, cooking plates, boiling rings, grillers and ",51,12962245.843,0.0
Enzymes and prepared enzymes: other than rennet and concentr,51,6478942.868,0.0
Rubber: tyres n.e.c. in heading no. 4012,51,1541725.816,0.0
"Dairy produce: cheese of all kinds, grated or powdered",51,3358691.676,0.0
"Aluminium: alloys, bars, rods and profiles, other than hollo",51,12141451.804,0.0
"Organic surface-active agents: non-ionic (other than soap), ",51,4786300.704,0.0
Oral or dental hygiene preparations: other than dentifrices,51,1734737.604,0.0
"Dairy produce: fresh cheese (including whey cheese), not fer",51,9202685.727,0.0
Silicon dioxide,51,3302718.883,0.0
"Aluminium: foil, (not backed), rolled (but not further worke",51,6384459.131,0.0
"Refrigerators and freezers: combined refrigerator-freezers, ",51,17203195.098,0.0
"Plastics: sacks and bags (including cones), for the conveyan",51,4424379.344,0.0
Ammunition: cartridges and parts thereof n.e.c. in heading n,51,2782166.973,0.0
"Electric accumulators: lead-acid, (other than for starting p",51,7133310.87,0.0
Protein: concentrates and textured protein substances,51,2350454.185,0.0
Edible mixtures or preparations of animal or vegetable fats ,51,4704070.689,0.0
"Nuts: ground-nuts, whether or not containing added sugar, ot",51,1562154.9679999999,0.0
"Amino-alcohol-phenols, amino-acid-phenols and other amino-co",51,3301586.614,0.0
"Valves: pressure reducing, for pipes, boiler shells, tanks, ",50,3239894.599,0.0
"Tobacco, (not stemmed or stripped)",50,1854223.385,0.0
"Fabrics, narrow woven fabrics, n.e.c. in heading no. 5806, o",50,1878059.367,0.0
"Tissue, towel, napkin stock or similar: for household or san",50,3626141.682,0.0
"Extracts, essences and concentrates: of coffee, and preparat",50,5716957.166,0.0
Prepared culture media for the development or maintenance of,50,3134093.246,0.0
Pens: ball point,50,2347290.634,0.0
Chandeliers and other electric ceiling or wall light fitting,50,14664908.929,0.0
"Machinery: parts of that machinery for agricultural, horticu",50,1825336.2719999999,0.0
Machinery: intake air filters for internal combustion engine,50,3731511.437,0.0
"Vinyl acetate, vinyl ester polymers, vinyl polymers: n.e.c. ",50,1543498.253,0.0
Units of automatic data processing machines: processing unit,50,90322205.167,0.0
Tractors: n.e.c. in heading no 8701 (other than tractors of ,50,28954559.745,0.0
Tractors: track-laying,50,2255312.857,0.0
Baby carriages and parts thereof,50,1929791.1379999998,0.0
Boring or sinking machinery: parts of the machinery of item ,50,9288460.029,0.0
Dextrins and other modified starches,50,4311725.582,0.0
Automatic data processing machines: presented in the form of,50,11849904.485,0.0
Ice cream and other edible ice: whether or not containing co,50,5161572.301,0.0
Helicopters: of an unladen weight exceeding 2000kg,50,6004743.477,0.0
"Plywood, veneered panels and similar laminated wood (other t",50,2211976.236,0.0
"Heaters: electric, instantaneous or storage water and immers",50,3464526.5439999998,0.0
"Plastics: tubes, pipes and hoses thereof, n.e.c. in item no.",50,4779629.804,0.0
"Hat-racks, hat-pegs, brackets and similar fixtures, of base ",50,2495377.5640000002,0.0
Acids: saturated acyclic monocarboxylic acids: vinyl acetate,50,2080010.243,0.0
"Electric motors: AC motors, single-phase",50,5305041.414,0.0
Turbo-jets: of a thrust exceeding 25kN,50,84783287.339,0.0
"Bicycles and other cycles: including delivery tricycles, not",50,8111891.761,0.0
"Cans: which are to be closed by soldering or crimping, for a",50,2618933.406,0.0
Acids: unsaturated acyclic monocarboxylic acids: esters of a,50,3194629.475,0.0
"Electrical transformers, static converters and inductors: pa",50,14150001.189,0.0
Carbonates: disodium carbonate,50,5611826.518,0.0
"Non-alcoholic beverages: n.e.c. in item no. 2202.10, not inc",50,9269092.47,0.0
"Footwear: n.e.c. in heading no. 6402, (other than just cover",50,19639603.075,0.0
"Copper: tubes and pipes, of refined copper",50,7080021.383,0.0
"Connectors for optical fibres, optical fibre bundles or cabl",50,2093229.564,0.0
"Oriented strand board (OSB) of wood, whether or not agglomer",50,3378339.873,0.0
Metal-rolling mills: parts thereof,50,2279897.9560000002,0.0
"Fruit, edible: bananas, other than plantains, fresh or dried",50,14418353.613,0.0
Organo-sulphur compounds: n.e.c. in heading no. 2930,50,5818999.873,0.0
"Spirits, liqueurs and other spirituous beverages: n.e.c. in ",50,9487157.672,0.0
"Vitamins: vitamin E and its derivatives, unmixed",50,2097624.933,0.0
Air conditioning machines: comprising a motor-driven fan and,50,15741520.292,0.0
"Vegetables: potatoes (other than seed), fresh or chilled",50,4888464.096,0.0
"Tanks and other armoured fighting vehicles: motorised, wheth",50,14465598.646000002,0.0
"Nuts, edible: walnuts, fresh or dried, shelled",50,1403812.043,0.0
"Footwear: parts, outer soles and heels, of rubber or plastic",50,1716453.909,0.0
"Vegetables, alliaceous: onions and shallots, fresh or chille",50,4311191.856,0.0
"Cloths: floor cloths, dish-cloths, dusters and similar clean",50,2155045.93,0.0
"Wood: oak (Quercus spp.), sawn or chipped lengthwise, sliced",49,2015050.017,0.0
Metal-rolling mills: rolls thereof,49,2029045.935,0.0
"Engines: for marine propulsion, compression-ignition interna",49,3835382.431,0.0
"Vegetables, leguminous: kidney beans, including white pea be",49,2126994.504,0.0
Hair preparations: shampoos,49,5071371.007,0.0
"Bran, sharps and other residues: of wheat, whether or not in",49,1982652.436,0.0
"Iron or steel: table, kitchen and other household articles a",49,3294213.4450000003,0.0
Machinery: for filtering or purifying water,49,8657118.755,0.0
Breathing appliances and gas masks: excluding protective mas,49,1812558.801,0.0
Acids: aromatic polycarboxylic acids: n.e.c. in item no. 291,49,2339318.774,0.0
"Machinery, plant and laboratory equipment: for treating mate",49,9807247.584,0.0
"Steel, stainless: flat-rolled, width less than 600mm, cold-r",49,4348494.077,0.0
"Polyamides: polyamide-6, -11, -12, -6,6, -6,9, -6,10 or -6,1",49,10899527.655,0.0
Oils and other products of the distillation of high temperat,49,11472452.674,0.0
"Balers: straw or fodder balers, including pick-up balers",49,1495746.989,0.0
Front-end shovel loaders,49,16443028.602,0.0
Rubber: new pneumatic tyres having a herring-bone or similar,49,3548727.59,0.0
"Dairy produce: cheese (not grated, powdered or processed), n",49,21503941.305999998,0.0
Tamping machines and road rollers: self-propelled,49,2828818.815,0.0
"Propylene, other olefin polymers: polypropylene in primary f",49,19967166.699,0.0
"Valves: safety or relief valves, for pipes, boiler shells, t",49,3913872.029,0.0
"Iron or steel: structures and parts thereof, doors, windows ",49,3544010.972,0.0
"Dressings, adhesive: and other articles having an adhesive l",49,4945601.797,0.0
"Fertilizers, mineral or chemical: diammonium hydrogenorthoph",49,8983106.847000001,0.0
"Floor, wall or ceiling coverings: of polymers of vinyl chlor",49,9823283.160999998,0.0
"Paraffin wax: containing by weight 0.75% or more of oil, obt",49,1820774.708,0.0
"Paraffin wax: containing by weight less than 0.75% of oil, o",49,1694152.432,0.0
"Therapeutic respiration apparatus: ozone, oxygen, aerosol th",49,11000298.956,0.0
"Furnaces, ovens and heating equipment: parts of the industri",49,1630107.533,0.0
"Seeds: vegetable seeds, of a kind used for sowing",49,3885558.6629999997,0.0
"Machines: parts of converters, ladles, ingot moulds and cast",49,1527730.611,0.0
"Acids: carboxylic acids, with additional oxygen function (no",49,1686294.7740000002,0.0
"Leather articles: n.e.c. in chapter 42, of leather or compos",49,2261211.1119999997,0.0
"Reaction initiators, reaction accelerators and catalytic pre",49,4511504.087,0.0
"Polysulphides, polysulphones and similar products of chemica",49,5157517.691,0.0
"Cocoa: powder, not containing added sugar or other sweetenin",49,3020631.885,0.0
"Polypeptide hormones, protein hormones and glycoprotein horm",49,24710870.233,0.0
Imines and their derivatives: salts thereof: other than chlo,49,1585940.703,0.0
"Acrylic polymers: poly(methyl methacrylate), in primary form",49,1549805.345,0.0
"Ether-alcohols and their halogenated, sulphonated, nitrated ",49,1865118.06,0.0
"Mixed alkylbenzenes and mixed alkylnaphthalenes, other than ",49,2747457.061,0.0
"Plastics: plates, sheets, film, foil and strip, other than c",48,14067422.124,0.0
"Valves: check (nonreturn) valves, for pipes, boiler shells, ",48,3204917.687,0.0
"Lamps and light fittings: parts thereof, of materials other ",48,3284562.833,0.0
"Vacuum flasks and other vacuum vessels, complete with cases:",48,4051407.1319999998,0.0
Pumps and liquid elevators: n.e.c. in heading no. 8413,48,3975151.7060000002,0.0
"Medicaments: containing hormones (but not insulin), adrenal ",48,37170662.085999995,0.0
Heat exchange units: not used for domestic purposes,48,12673308.331,0.0
Dish washing machines: of the household type,48,5088569.467,0.0
"Moulds: for rubber or plastics, other than injection or comp",48,2253094.994,0.0
"Mountings, fittings and similar articles: of base metal, sui",48,7074369.264,0.0
"Amino-alcohols, other than those containing more than one ki",48,2438753.787,0.0
"Iron or non-alloy steel: wire, (not plated or coated), wheth",48,2554833.374,0.0
"Flowers, foliage and fruit, artificial, and parts thereof: a",48,1844673.5,0.0
"Tubing: flexible, with or without fittings, of iron or steel",48,2197521.461,0.0
"Briefs and panties: women's or girls', of man-made fibres, k",48,3170864.406,0.0
Turbo-propellers: of a power exceeding 1100kW,48,2062729.0559999999,0.0
Polycarbonates: in primary forms,48,10032552.967,0.0
Heterocyclic compounds: containing an unfused thiazole ring ,48,2407591.957,0.0
Beer: made from malt,48,15413494.627999999,0.0
"Iron or steel: cast fittings, other than of non-malleable ca",48,2389285.393,0.0
Athletics and gymnastics equipment,48,8508156.637,0.0
"Rubber: synthetic, butadiene rubber (BR), in primary forms o",48,3351316.746,0.0
"Meat preparations: sausages and similar products, of meat, m",48,6550760.628,0.0
"Medical, surgical or dental instruments and appliances: n.e.",48,58113554.419,0.0
Rum and other spirits obtained by distilling fermented sugar,48,1667278.168,0.0
"Containers for compressed or liquefied gas, of iron or steel",48,3733906.478,0.0
"Steel, stainless: bars and rods, cold-formed or cold-finishe",48,4016645.514,0.0
"Ethylene polymers: in primary forms, n.e.c. in heading no. 3",48,23624439.724,0.0
Hair-dressing apparatus: electro-thermic hair dryers,48,2375370.023,0.0
"Cruise ships, excursion boats and similar vessels, principal",48,13192971.21,0.0
"Pigments: of a kind used in the manufacture of paints, other",48,1301421.787,0.0
Machines and appliances: instruments or apparatus of chapter,48,3103285.593,0.0
"Cases and containers: trunks, suit-cases, vanity-cases, exec",48,9755818.432,0.0
"Cranes: transporter, gantry and bridge cranes",48,2073666.2280000001,0.0
Trailers and semi-trailers: (other than tanker type),48,14106054.688000001,0.0
Compressors: of a kind used in refrigerating equipment,48,15081707.326,0.0
"Rubber: technically specified natural rubber (TSNR), in prim",48,9707494.227,0.0
Glass: multiple-walled insulating units of glass,48,2255897.909,0.0
"Seeders, planters and transplanters",48,2318362.699,0.0
Textile products and articles for technical uses: n.e.c. in ,48,2752956.718,0.0
"Paper, paperboard, cellulose wadding and webs of soft cellul",48,4325488.639,0.0
"Locks: parts of padlocks, locks, clasps and frames with clas",48,3173614.0549999997,0.0
Machining centres: for working metal,48,9121065.127,0.0
"Plastics: of polymers of styrene, plates, sheets, film, foil",48,2087096.839,0.0
Carbon: carbon blacks and other forms of carbon n.e.c.,48,6553237.504,0.0
"Chemical products, preparations and residual products of the",48,38807495.145,0.0
Petroleum bitumen: obtained from bituminous minerals,48,13511102.491,0.0
"Glues and other adhesives: prepared, n.e.c. in heading no. 3",48,1651921.663,0.0
"Trailers, semi-trailers and other vehicles not mechanically ",48,11577412.231,0.0
"Electro-thermic appliances: n.e.c. in heading no. 8516, used",48,7415251.966,0.0
"Signalling apparatus: parts of the electric, sound or visual",47,3772771.26,0.0
"Mechanical appliances: parts of machines projecting, dispers",47,5943771.801,0.0
"Machines and mechanical appliances: for treating metal, incl",47,2275747.612,0.0
"Steel, stainless: wire",47,2548492.897,0.0
"Washing machines: household or laundry-type, fully-automatic",47,6921559.908,0.0
"Mountings, fittings and similar articles: suitable for other",47,3962935.425,0.0
Machinery: parts for filtering or purifying liquids or gases,47,14650288.226,0.0
Mowers: n.e.c. in item no. 8433.1 (including cutter bars for,47,1647660.236,0.0
Pumps: parts thereof,47,12446861.444,0.0
Peptones and their derivatives: other protein substances and,47,4446685.706,0.0
"Razors: safety razor blades, including razor blade blanks in",47,1640891.521,0.0
Pharmaceutical goods: appliances identifiable for ostomy use,47,2187761.177,0.0
Seals: mechanical,47,2802919.757,0.0
"Wrist-watches: (not electrically operated), automatic windin",47,11222651.318,0.0
"Lifting, handling, loading or unloading machinery: n.e.c. in",47,14372649.3,0.0
"Rubber: synthetic, styrene-butadiene rubber (SBR) and carbox",47,5808063.742,0.0
Plastics: office or school supplies,47,1907709.432,0.0
Surveying equipment: parts and accessories for articles of h,47,2473364.136,0.0
"Optical fibres, optical fibre bundles and cables: excluding ",47,2435734.106,0.0
Sulphates: n.e.c. in item no. 2833.2,47,2014621.352,0.0
"Trailers and semi-trailers: of the caravan type, for housing",47,2495698.199,0.0
"Jackets and blazers: women's or girls', of cotton (not knitt",47,1360267.687,0.0
"Plastics: builders' ware, n.e.c. or included in heading no. ",47,6484840.486,0.0
"Machinery, plant and equipment: for making hot drinks, for c",47,4864854.225,0.0
"Plastics n.e.c. in heading no. 3915: waste, parings and scra",47,1210019.083,0.0
"Wadding, gauze, bandages and similar articles: (excluding ad",47,4258115.64,0.0
"Rubber: vulcanised (other than hard rubber), gloves, mittens",47,3239736.503,0.0
"Rubber: vulcanised (other than hard rubber), in plates, shee",47,1837742.108,0.0
"Styrene polymers: in primary forms, n.e.c. in heading no. 39",47,3947464.921,0.0
Machinery: for working rubber or plastics or for the manufac,47,6342090.765000001,0.0
"Steel, stainless: table, kitchen and other household article",47,6591573.325,0.0
Odoriferous substances and mixtures: of a kind used in the f,47,14858773.833,0.0
"Washing machines: household or laundry-type, of a dry linen ",47,5061074.212,0.0
"Polymers, natural and modified natural: in primary forms (ex",47,3221706.5409999997,0.0
"Iron or steel: nails, tacks, drawing pins, corrugated nails,",47,2576083.796,0.0
Telephone sets n.e.c. in item no. 8517.1,47,2449407.759,0.0
"Abrasive powder or grain: natural or artificial, on a base o",47,1967067.6860000002,0.0
"Brooms, brushes, mops, feather dusters, squeegees, hand oper",47,3162151.497,0.0
Air conditioning machines: with motor driven fan and element,47,26378365.307,0.0
Antibiotics: n.e.c. in heading no. 2941,47,5722458.967,0.0
"Fruit, edible: pears, fresh",47,2496849.198,0.0
"Electrical machines and apparatus: for electroplating, elect",47,1745015.965,0.0
"Alcohols: acyclic, diols, other than ethylene glycol (ethand",47,2339699.388,0.0
"Ferro-alloys: ferro-silicon, containing by weight more than ",47,3785432.9529999997,0.0
"Footwear: parts, n.e.c. in heading 6406",47,3143295.034,0.0
Acids: saturated acyclic monocarboxylic acids: esters of ace,47,1928166.124,0.0
"Glass: safety glass, laminated, (not of a size and shape sui",47,1301995.071,0.0
Cranes: tower cranes,47,1716420.422,0.0
"Clothing: worn, and other worn articles",47,3920687.319,0.0
"Ceramic tableware, kitchenware, other household articles and",47,1596363.092,0.0
"Apparatus based on the use of x-rays, including radiography ",47,3570498.991,0.0
Hair clippers: with a self-contained electric motor,47,1929194.0929999999,0.0
"Aluminium: foil, backed with paper, paperboard, plastics or ",47,3649389.279,0.0
"Domestic appliances: non-electric, parts thereof, of iron or",47,1515160.761,0.0
Insulated electric conductors: for a voltage exceeding 1000 ,47,8461318.834,0.0
Aluminium oxide: other than artificial corundum,47,14017563.483,0.0
"Copper: bars, rods and profiles, of refined copper",47,2505117.734,0.0
"Gelatin (including gelatin in rectangular sheets, whether or",47,2574754.829,0.0
Clutches and shaft couplings (including universal joints),46,3508040.3,0.0
"Minerals: mixtures and articles of heat-insulating, sound-in",46,1793934.162,0.0
Clothing accessories: other than those of heading no. 6212 (,46,1116770.253,0.0
"Organo-inorganic compounds: other than tetramethyl lead, tet",46,7511672.972,0.0
"Dairy produce: derived from milk, butter",46,7682735.258,0.0
"Steel, stainless: cold-drawn or cold-rolled (cold-reduced), ",46,2916084.717,0.0
Plastics: statuettes and other ornamental articles,46,3112111.991,0.0
Colouring matter: other preparations n.e.c. in item no. 3206,46,2538553.7229999998,0.0
"Jacks and hoists: hydraulic, of a kind used for raising vehi",46,1612337.49,0.0
Welding machines and apparatus: for resistance welding of me,46,1545944.9070000001,0.0
Monophenols: phenol (hydroxybenzene) and its salts,46,2118375.375,0.0
"Nuts, edible: cashew nuts, fresh or dried, shelled",46,4171187.082,0.0
"Machinery: parts of machines handling earth, minerals or ore",46,26919406.369999997,0.0
"Albumins: milk albumin, including concentrates of two or mor",46,2287801.8880000003,0.0
"Engines: for aircraft, spark-ignition reciprocating or rotar",46,4366150.093,0.0
"Steel, alloy: wire, of materials other than silico-manganese",46,1900315.969,0.0
"Aluminium: foil, (not backed), of a thickness not exceeding ",46,3480580.847,0.0
"Refrigerating or freezing equipment: parts thereof, other th",46,6978789.223,0.0
"Medical, surgical instruments and appliances: catheters, can",46,33380939.025,0.0
"Aluminium: unwrought, (not alloyed)",46,36688783.937,0.0
Hair preparations: n.e.c. in heading no. 3305,46,6933557.765,0.0
Machine-tools: for working any material by removal of materi,46,5832431.522,0.0
"Tin: unwrought, not alloyed",46,5519405.381999999,0.0
"Steel, stainless: (excluding cold-drawn or cold-rolled), tub",46,1780567.359,0.0
"Resistors: electric heating, other than those of heading no.",46,4980721.071,0.0
"Signalling apparatus: electric, sound or visual, burglar or ",46,4223717.512,0.0
Newsprint: made of fibres by a chemi-mechanical process or o,46,3731179.341,0.0
"Lathes: for removing metal, horizontal, numerically controll",46,5669993.713,0.0
"Iron or steel: tube or pipe fittings, n.e.c. in item no. 730",46,4399783.718,0.0
Lamps: parts of the lamps of heading no. 8539,46,2144726.838,0.0
"Lamps, electric: floor-standing or for table, desk or bedsid",46,2768478.118,0.0
Telephone sets and other apparatus for the transmission or r,46,60459508.761,0.0
"Fertilizers, mineral or chemical: phosphatic, superphosphate",46,2209012.367,0.0
"Automatic data processing machines: portable, weighing not m",46,126781700.966,0.0
"Fertilizers, mineral or chemical: ammonium dihydrogenorthoph",46,6878310.589,0.0
Pharmaceutical goods: opacifying preparations for x-ray exam,46,3677318.244,0.0
"Polyamides: n.e.c. in heading no. 3908, in primary forms",46,3969288.463,0.0
"Furniture: metal, for office use",46,3013927.44,0.0
"Vegetable oils: soya-bean oil and its fractions, crude, whet",46,10354880.603,0.0
"Birds' eggs, in shell: fresh, not for incubation, of fowls o",46,3094520.807,0.0
Dyes: pigments and preparations based thereon,46,4236019.808,0.0
Undenatured ethyl alcohol: of an alcoholic strength by volum,46,9696779.741,0.0
Antibiotics: penicillins and their derivatives with a penici,46,2367168.8310000002,0.0
"Cocoa: paste, not defatted",46,3536492.658,0.0
"Pumps: for liquids, fitted or designed to be fitted with a m",46,1368276.599,0.0
"Printing machinery: offset, n.e.c. in item no. 8443.1",46,2478465.671,0.0
"Petroleum resins, coumarone, indene or coumarone-indene resi",46,1880859.68,0.0
Units of automatic data processing machines: storage units,46,48908403.323,0.0
"Paper and paperboard: registers, account books, note books, ",46,2267821.303,0.0
Soups and broths and preparations therefor,46,3092906.415,0.0
"Fruit, edible: mandarins (including tangerines and satsumas)",46,5384736.13,0.0
"Machines: for mixing, kneading, crushing, grinding, screenin",46,5673938.646,0.0
"Engines: rotary internal combustion piston engines, for othe",46,2982592.187,0.0
Drying machines: of a dry linen capacity not exceeding 10kg,46,3098465.148,0.0
Insulated electric conductors: co-axial cable and other co-a,46,5222521.996,0.0
"Pumps and compressors: for air, vacuum or gas, n.e.c. in hea",46,22535351.712,0.0
"Hosiery and footwear: without applied soles, of cotton, knit",46,5190013.465,0.0
"Cranes: self-propelled derricks and cranes, not on tyres, n.",46,3024966.461,0.0
Artificial parts of the body,46,13066056.754999999,0.0
"Fruit, edible: grapes, dried",46,1142365.734,0.0
"Hinges: suitable for furniture, doors, staircases, windows, ",46,4973015.323,0.0
"Furniture: wooden, for office use",46,2812901.402,0.0
"Electrical apparatus: relays, for a voltage exceeding 60 vol",46,4915824.898,0.0
"Seats: convertible into beds, other than garden seats or cam",46,1671253.7680000002,0.0
Iron or steel: threaded nuts,46,7208267.157,0.0
"Food preparations: pasta (excluding stuffed), cooked or othe",46,3960438.91,0.0
Electric motors and generators: parts suitable for use solel,45,22760651.362,0.0
"Footwear: with metal toe-cap, outer soles of rubber, plastic",45,2381214.366,0.0
Mechanical appliances: steam or sand blasting machines and s,45,2701510.231,0.0
Lubricating oil additives: containing petroleum oils or oils,45,10091298.248,0.0
"Meat: of bovine animals, boneless cuts, frozen",45,28312728.456,0.0
"Soya beans: other than seed, whether or not broken",45,94211161.311,0.0
"Meat: of sheep (including lamb), cuts with bone in (excludin",45,3118925.645,0.0
"Bearings: n.e.c. in heading no. 8482, including combined bal",45,1265893.679,0.0
"Shirts: men's or boys', of textile materials n.e.c. in headi",45,1302682.784,0.0
"Dresses: women's or girls', of cotton, knitted or crocheted",45,2290548.626,0.0
"Electrical apparatus: switches n.e.c. in heading no. 8536, f",45,19305325.614,0.0
Vehicles: n.e.c. in heading no. 8716,45,3295510.934,0.0
"Machinery and mechanical appliances: industrial robots, n.e.",45,6237075.484,0.0
"Tools: plates, sticks, tips and the like for tools, unmounte",45,6092687.071,0.0
"Dyes: n.e.c., including mixtures of colouring matter of two ",45,1557460.139,0.0
"Millstones, grindstones, grinding wheels and the like: of ag",45,1845642.375,0.0
Radar apparatus,45,7055410.563,0.0
"Furniture: wooden, for bedroom use",45,9797532.370000001,0.0
Blankets (other than electric blankets) and travelling rugs:,45,3028871.374,0.0
"Insulated electric conductors: winding wire, of copper",45,5763787.93,0.0
"Bulldozers and angledozers: self-propelled, track laying",45,4841315.63,0.0
Motorcycles (including mopeds) and cycles: n.e.c. in heading,45,11323005.493999999,0.0
Motorcycles (including mopeds): parts and accessories,45,9877192.264,0.0
